컷,시작,길이(초),방식,핵심,화면,그림 지시문,움직임,편집,완료
C001,0:00,2.5,영상,,칠흑 속에서 제트 엔진 배기구가 주황색으로 달아오르는 초근접,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, pre-dawn darkness, deep navy and black, burning amber glow on the horizon, extreme close-up of a stealth bomber jet exhaust igniting, orange heat glow in total darkness, heat distortion","exhaust glow flares brighter, heat shimmer, slight camera shake",,
C002,0:02,2.5,영상,,가게 저울 위로 커피 원두 한 알이 슬로모션으로 떨어짐,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, small Seoul coffee bean shop interior, warm tungsten light, burlap coffee sacks, cramped wooden shelves, cozy but tired mood, macro shot of a single roasted coffee bean falling onto a small digital kitchen scale, shallow depth of field","slow motion fall, bean bounces once, scale display glows",저울 화면에 숫자가 올라가는 그래픽을 직접 얹기,
C003,0:05,4.0,영상,,"새벽 기지 활주로, 박쥐 날개 같은 폭격기 실루엣이 이륙 (썸네일 A와 같은 구도)","anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, pre-dawn darkness, deep navy and black, burning amber glow on the horizon, wide shot of a tropical island airbase runway at dawn, a black flying-wing stealth bomber silhouette taking off, amber horizon glow, palm silhouettes","bomber lifts off and climbs toward the horizon, runway lights streak past",오버레이 06 (2026. 2. 28. 자막 바),
C004,0:09,4.0,영상,,카메라 바로 위로 지나가는 폭격기 배면,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, pre-dawn darkness, deep navy and black, burning amber glow on the horizon, low angle looking up, underside of a black flying-wing stealth bomber passing directly overhead, amber rim light on its edges","bomber passes overhead fast, camera shakes, dust blows",,
C005,0:13,4.0,정지,,세 개의 뉴스 화면이 겹친 몽타주. 앵커 얼굴은 렌즈 빛에 가려짐,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, split screen of three TV news studios, anchors in suits with faces hidden by strong lens flare, red and blue studio lights",,,
C006,0:17,2.0,정지,,"가게 벽걸이 TV에 같은 뉴스, 카메라가 빠지며 가게 안으로","anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, small Seoul coffee bean shop interior, warm tungsten light, burlap coffee sacks, cramped wooden shelves, cozy but tired mood, small wall-mounted TV showing a news broadcast glow, shop interior around it",,,
C007,0:19,4.0,입,,"계산기를 두드리는 아버지, 한숨","anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, small Seoul coffee bean shop interior, warm tungsten light, burlap coffee sacks, cramped wooden shelves, cozy but tired mood, Seojin's father, Korean man in his early 50s, short graying hair, reading glasses pushed up on his forehead, brown canvas apron with coffee stains over a navy knit sweater, weary kind face at the counter tapping a calculator, sighing, invoices with dollar amounts scattered",,,
C008,0:23,5.0,입,,카운터에 엎드려 있던 서진이 고개를 들어 TV를 봄,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, small Seoul coffee bean shop interior, warm tungsten light, burlap coffee sacks, cramped wooden shelves, cozy but tired mood, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt lifting his head from the counter, phone in hand, looking up at the TV with a puzzled frown",,,
C009,0:28,6.0,정지,,"서진 얼굴에서 정지, 채도가 빠짐","anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, small Seoul coffee bean shop interior, warm tungsten light, burlap coffee sacks, cramped wooden shelves, cozy but tired mood, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt lifting his head from the counter, phone in hand, looking up at the TV with a puzzled frown",,정지 + 흑백 전환,
C010,0:34,6.0,그래픽,,"0.5초짜리 컷 6개를 빠르게. C026(절벽), C048(빛나는 눈), C052(명예 게이지), C066(항공모함), C085(찢어지는 코트), C081(모이는 실)",,,뒤에서 만든 컷을 잘라 씀. 컷마다 짧은 타격음,
